PORT_IATA,PORT_NAME,LAT_DEC,LONG_DEC,CITY_NAME,ACTIVE
RBY,Ruby Municipal,64.72721,-155.46999,Ruby,Y
RCB,Richards Bay,-28.7411,32.09221,Richards Bay,Y
RCH,Aimirante Padilla,11.5261,-72.92582,Riohacha,Y
RCL,Redcliffe,-15.47142,167.8353,Redcliffe,Y
RCM,Richmond,-20.70138,143.11416,Richmond,Y
RDB,Red Dog,68.02811,-162.90835,Red Dog,Y
RDD,Redding Municipal,40.50888,-122.29333,Redding,Y
RDM,Roberts Field,44.25416,-121.15,Redmond/Bend,Y
RDN,Redang Island,5.76401,103.00471,Redang Island,Y
RDU,Raleigh-Durham International,35.87777,-78.78749,Raleigh/Durham,Y
RDZ,Marcillac,44.4075,2.48333,Rodez,Y
REC,Guararapes International,-8.12666,-34.92304,Recife,Y
REG,Reggio di Calabria,38.07193,15.65361,Reggio di Calabria,Y
REL,Almirante M. A. Zar,-43.21055,-65.27027,Trelew,Y
REN,Orenburg Tsentralny,51.79583,55.45666,Orenburg,Y
REP,Angkor Intl,13.41055,103.81277,Siem Reap,Y
RES,Resistencia,-27.45,-59.05611,Resistencia,Y
RET,Rost,67.52733,12.10297,Rost,Y
REU,Reus,41.14749,1.16721,Reus,Y
REX,Lucio Blanco Intl,26.00888,-98.2286,Reynosa,Y
RFP,Uturoa,-16.72277,-151.46583,Raiatea Island,Y
RGA,Hermes Quijada,-53.77749,-67.75,Rio Grande,Y
RGI,Rangiroa Island Seaplane Base,-14.95416,-147.66083,Rangiroa Island,Y
RGL,Piloto N. Fernandez,-51.60888,-69.31277,Rio Gallegos,Y
RGN,Yangon International,16.90722,96.13333,Yangon,Y
RHI,Oneida County,45.6311,-89.46749,Rhinelander,Y
RHO,Diagoras,36.40555,28.0861,Rhodes,Y
RIA,Santa Maria,-29.71138,-53.68805,Santa Maria,Y
RIB,Riberalta,-11.01051,-66.07349,Riberalta,Y
RIC,Richmond International,37.50527,-77.31971,Richmond,Y
RIS,Rishiri,45.24194,141.18638,Rishiri,Y
RIX,Riga International,56.9236,23.9711,Riga,Y
RIY,Riyan,14.66277,49.37499,Mukalla,Y
RJA,Rajahmundry,17.10994,81.81923,Rajahmundry,Y
RJH,Shah Makhdum,24.43721,88.61638,Rajshahi,Y
RJK,Rijeka,45.21693,14.57027,Rijeka,Y
